===========================================================
172.24.220.87
evarts
Filesystem                       Size  Used Avail Use% Mounted on
tmpfs                            2.0G  2.0M  2.0G   1% /run
/dev/sdc2                         64G   54G  6.9G  89% /
tmpfs                            9.8G  676K  9.8G   1% /dev/shm
tmpfs                            5.0M  8.0K  5.0M   1% /run/lock
efivarfs                         128K  123K   819 100% /sys/firmware/efi/efivars
/dev/sda1                        2.7T  2.1T  530G  80% /datos/evarts
/dev/sdc1                        509M  6.1M  503M   2% /boot/efi
/dev/sdc4                        137G  1.7M  130G   1% /tmp
/dev/sdb1                        1.8T  1.5T  205G  89% /datos/evarts2
hahn:/inb                        7.3T  1.1T  5.9T  15% /home/inb
tmpfs                            2.0G  112K  2.0G   1% /run/user/127
ernst:/datos/ernst2              3.6T  486G  3.0T  14% /misc/ernst2
fourier:/datos/fourier           917G  639G  232G  74% /misc/fourier
jasper:/datos/jasper             1.8T  1.4T  303G  83% /misc/jasper
larmor:/datos/larmor2            476G  100G  352G  23% /misc/larmor2
rabi:/datos/rabi                 1.8T   63G  1.6T   4% /misc/rabi
sherrington:/datos/sherrington2  1.8T  1.3T  476G  73% /misc/sherrington2
arwen:/datos/arwen               909G  824G   40G  96% /misc/arwen
austin:/datos/austin             902G  406G  450G  48% /misc/austin
brown:/datos/brown               1.8T  1.7T   91G  95% /misc/brown
claustrum:/datos/claustrum       3.6T  3.4T     0 100% /misc/claustrum
copula:/datos/copula             3.6T  3.4T     0 100% /misc/copula
copula2:/datos/copula2           916G  758G  112G  88% /misc/copula2
echinopsis:/datos/echinopsis1    727G   40K  690G   1% /misc/echinopsis1
fourier:/datos/fourier2          1.8T  773G  968G  45% /misc/fourier2
lauterbur:/datos/lauterbur       494G  372G   98G  80% /misc/lauterbur
moca:/datos/moca1                1.7T  101G  1.5T   7% /misc/moca1
moca:/datos/moca2                7.3T  1.2T  5.8T  17% /misc/moca2
ogawa:/datos/ogawa2              469G  332G  113G  75% /misc/ogawa2
ogawa:/datos/ogawa3              469G   32G  414G   7% /misc/ogawa3
purcell:/datos/purcell           687G   47G  605G   8% /misc/purcell
ridelim:/datos/ridelim           916G  812G   59G  94% /misc/ridelim
sherrington:/datos/sherrington   1.8T  980G  743G  57% /misc/sherrington
tesla:/datos/tesla3              9.1T  3.1T  5.6T  36% /misc/tesla3
tezca:/datos/tezca               1.8T  1.6T  196G  89% /misc/tezca
tezca:/datos/tezca2              916G  848G   22G  98% /misc/tezca2
tmpfs                            2.0G   92K  2.0G   1% /run/user/1028
===========================================================
172.24.220.91
jasper
Filesystem                           Size  Used Avail Use% Mounted on
tmpfs                                2.8G  2.8M  2.8G   1% /run
/dev/sdb2                             64G   56G  5.3G  92% /
tmpfs                                 14G   15M   14G   1% /dev/shm
tmpfs                                5.0M  8.0K  5.0M   1% /run/lock
efivarfs                             128K   78K   46K  63% /sys/firmware/efi/efivars
/dev/sda1                            1.8T  1.4T  303G  83% /datos/jasper
/dev/sdb1                            509M  6.1M  503M   2% /boot/efi
/dev/sdb4                            146G  5.9M  138G   1% /tmp
hahn:/inb                            7.3T  1.1T  5.9T  15% /home/inb
tmpfs                                2.8G   76K  2.8G   1% /run/user/1095
tmpfs                                2.8G   76K  2.8G   1% /run/user/1083
tmpfs                                2.8G   76K  2.8G   1% /run/user/1045
tmpfs                                2.8G   76K  2.8G   1% /run/user/1028
tmpfs                                2.8G   76K  2.8G   1% /run/user/1009
tmpfs                                2.8G  152K  2.8G   1% /run/user/1180
tmpfs                                2.8G   76K  2.8G   1% /run/user/1232
tournoux:/datos/tournoux2            3.6T  1.9T  1.6T  55% /misc/tournoux2
charcot:/datos/charcot               3.6T  3.2T  272G  93% /misc/charcot
arwen:/datos/arwen                   909G  824G   40G  96% /misc/arwen
charcot:/datos/charcot2              1.8T  1.7T   65G  97% /misc/charcot2
claustrum:/datos/claustrum           3.6T  3.4T     0 100% /misc/claustrum
copula:/datos/copula                 3.6T  3.4T     0 100% /misc/copula
echinopsis:/datos/echinopsis2        7.3T   59G  6.8T   1% /misc/echinopsis2
euler:/datos/euler                   3.5T  2.8T  515G  85% /misc/euler
fourier:/datos/fourier2              1.8T  773G  968G  45% /misc/fourier2
geminis:/datos/geminis2              3.6T  2.4T  1.1T  69% /misc/geminis2
larmor:/datos/larmor                 5.5T  227G  5.0T   5% /misc/larmor
larmor:/datos/larmor2                476G  100G  352G  23% /misc/larmor2
lauterbur:/datos/lauterbur           494G  372G   98G  80% /misc/lauterbur
lauterbur:/datos/lauterbur2          5.5T  1.1T  4.1T  22% /misc/lauterbur2
milagros:/datos/milagros             3.6T  2.3T  1.2T  65% /misc/milagros
moca:/datos/moca1                    1.7T  101G  1.5T   7% /misc/moca1
rhesus:/datos/rhesus                 1.4T  1.2T  177G  87% /misc/rhesus
tournoux:/datos/tournoux             1.8T  1.7T   35G  99% /misc/tournoux
evarts:/datos/evarts2                1.8T  1.5T  205G  89% /misc/evarts2
tmpfs                                2.8G  224K  2.8G   1% /run/user/1297
austin:/datos/austin                 902G  406G  450G  48% /misc/austin
brown:/datos/brown                   1.8T  1.7T   91G  95% /misc/brown
cajal:/datos/cajal                   916G   40K  870G   1% /misc/cajal
carr:/datos/carr                     1.8T  1.3T  423G  76% /misc/carr
carr:/datos/carr2                    5.5T  3.4T  1.9T  65% /misc/carr2
copula2:/datos/copula2               916G  758G  112G  88% /misc/copula2
damadian:/datos/damadian             3.6T  471G  3.0T  14% /misc/damadian
echinopsis:/datos/echinopsis1        727G   40K  690G   1% /misc/echinopsis1
ernst:/datos/ernst                   1.8T  1.7T     0 100% /misc/ernst
ernst:/datos/ernst2                  3.6T  486G  3.0T  14% /misc/ernst2
evarts:/datos/evarts                 2.7T  2.1T  530G  80% /misc/evarts
fourier:/datos/fourier               917G  639G  232G  74% /misc/fourier
geminis:/datos/geminis               1.8T  1.4T  324G  82% /misc/geminis
giora:/datos/giora                   902G  687G  169G  81% /misc/giora
giora:/datos/giora2                  1.8T  1.3T  438G  75% /misc/giora2
mansfield:/datos/mansfield           3.6T  3.2T  211G  94% /misc/mansfield
moca:/datos/moca2                    7.3T  1.2T  5.8T  17% /misc/moca2
nyquist:/datos/nyquist               3.6T  3.3T  160G  96% /misc/nyquist
nyquist:/datos/nyquist2              1.8T   13G  1.7T   1% /misc/nyquist2
ogawa:/datos/ogawa                   440G  408G  8.9G  98% /misc/ogawa
ogawa:/datos/ogawa2                  469G  332G  113G  75% /misc/ogawa2
ogawa:/datos/ogawa3                  469G   32G  414G   7% /misc/ogawa3
opuntia:/datos/opuntia               1.7T  2.0G  1.6T   1% /misc/opuntia
penfield:/datos/penfield             1.8T  499G  1.3T  29% /misc/penfield
purcell:/datos/purcell               687G   47G  605G   8% /misc/purcell
rabi:/datos/rabi                     1.8T   63G  1.6T   4% /misc/rabi
ridelim:/datos/ridelim               916G  812G   59G  94% /misc/ridelim
sherrington:/datos/sherrington       1.8T  980G  743G  57% /misc/sherrington
sherrington:/datos/sherrington2      1.8T  1.3T  476G  73% /misc/sherrington2
tanner:/datos/tanner                 2.7T  282G  2.3T  11% /misc/tanner
tesla:/datos/tesla1                  9.1T  7.0T  1.7T  81% /misc/tesla1
tesla:/datos/tesla2                  9.1T  7.9T  713G  92% /misc/tesla2
tesla:/datos/tesla3                  9.1T  3.1T  5.6T  36% /misc/tesla3
tezca:/datos/tezca                   1.8T  1.6T  196G  89% /misc/tezca
tezca:/datos/tezca2                  916G  848G   22G  98% /misc/tezca2
tmpfs                                2.8G  184K  2.8G   1% /run/user/1254
drobo02:/mnt/DroboFS/Shares/Scratch   16T   13T  3.4T  80% /misc/drobo02
tmpfs                                2.8G   96K  2.8G   1% /run/user/127
===========================================================
172.24.220.93
===========================================================
172.24.220.94
